id_compra,produto_comprado,preço_do_produto
1,Smartphone,"1.500,00"
3,Laptop,"3.000,00"
5,Tablet,"800,00"
8,Headphones,"150,00"
10,Monitor,"1.200,00"
12,Mouse,"50,00"
14,Keyboard,"80,00"
16,Speaker,"200,00"
19,Printer,"300,00"
20,Smartwatch,"500,00"
22,Keyboard,"80,00"
24,Tablet,"800,00"
26,Laptop,"3.000,00"
28,Monitor,"1.200,00"
30,Mouse,"50,00"
32,Speaker,"200,00"
34,Smartphone,"1.500,00"
36,Headphones,"150,00"
39,Smartwatch,"500,00"
40,Printer,"300,00"
42,Smartphone,"1.500,00"
44,Speaker,"200,00"
46,Mouse,"50,00"
48,Laptop,"3.000,00"
50,Keyboard,"80,00"
52,Monitor,"1.200,00"
54,Tablet,"800,00"
56,Speaker,"200,00"
59,Smartphone,"1.500,00"
60,Smartwatch,"500,00"
62,Keyboard,"80,00"
64,Tablet,"800,00"
66,Laptop,"3.000,00"
68,Monitor,"1.200,00"
70,Mouse,"50,00"
72,Speaker,"200,00"
74,Smartphone,"1.500,00"
76,Headphones,"150,00"
79,Smartwatch,"500,00"
80,Printer,"300,00"
82,Smartphone,"1.500,00"
84,Speaker,"200,00"
86,Mouse,"50,00"
88,Laptop,"3.000,00"
90,Keyboard,"80,00"
92,Monitor,"1.200,00"
94,Tablet,"800,00"
96,Speaker,"200,00"
99,Smartphone,"1.500,00"
100,Smartwatch,"500,00"